Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.200	24.400	166.93	0.0059904	-0.035312	-0.031253	-1.4448	16.963	27.786	912.44	-0.0070854	undefined	undefined	liquid
22.200	24.404	166.93	0.0059904	-0.035312	-0.031252	-1.4448	16.963	27.786	912.44	-0.0070854	undefined	undefined	liquid
22.200	24.408	166.94	0.0059904	-0.035313	-0.031252	-1.4449	16.963	27.786	912.44	-0.0070855	undefined	undefined	liquid
22.200	24.413	166.94	0.0059904	-0.035313	-0.031251	-1.4449	16.963	27.786	912.45	-0.0070855	undefined	undefined	liquid
22.200	24.417	166.94	0.0059903	-0.035313	-0.031251	-1.4449	16.963	27.786	912.45	-0.0070855	undefined	undefined	liquid
22.200	24.421	166.94	0.0059903	-0.035313	-0.031250	-1.4449	16.963	27.786	912.45	-0.0070855	undefined	undefined	liquid
22.200	24.425	166.94	0.0059903	-0.035314	-0.031250	-1.4449	16.963	27.786	912.45	-0.0070855	undefined	undefined	liquid
22.200	24.429	166.94	0.0059903	-0.035314	-0.031250	-1.4449	16.963	27.786	912.45	-0.0070855	undefined	undefined	liquid
22.200	24.434	166.94	0.0059903	-0.035314	-0.031249	-1.4449	16.963	27.786	912.45	-0.0070855	undefined	undefined	liquid
22.200	24.438	166.94	0.0059903	-0.035314	-0.031249	-1.4449	16.963	27.786	912.45	-0.0070856	undefined	undefined	liquid
22.200	24.442	166.94	0.0059903	-0.035315	-0.031248	-1.4449	16.963	27.786	912.45	-0.0070856	undefined	undefined	liquid
22.200	24.446	166.94	0.0059903	-0.035315	-0.031248	-1.4450	16.963	27.786	912.45	-0.0070856	undefined	undefined	liquid
22.200	24.450	166.94	0.0059903	-0.035315	-0.031247	-1.4450	16.963	27.786	912.45	-0.0070856	undefined	undefined	liquid
