Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.450	25.600	2.2042	0.45368	0.76292	0.92435	41.247	13.200	26.299	367.02	0.20237	1.2088	0.019432	vapor
22.450	25.603	2.2045	0.45362	0.76292	0.92435	41.246	13.200	26.301	367.02	0.20238	1.2088	0.019433	vapor
22.450	25.606	2.2048	0.45355	0.76291	0.92434	41.245	13.200	26.302	367.02	0.20238	1.2088	0.019433	vapor
22.450	25.609	2.2051	0.45349	0.76291	0.92433	41.244	13.200	26.303	367.01	0.20238	1.2088	0.019433	vapor
22.450	25.612	2.2054	0.45343	0.76290	0.92432	41.242	13.201	26.304	367.01	0.20238	1.2089	0.019433	vapor
22.450	25.615	2.2057	0.45337	0.76290	0.92431	41.241	13.201	26.305	367.00	0.20239	1.2089	0.019433	vapor
22.450	25.618	2.2060	0.45330	0.76289	0.92430	41.240	13.201	26.306	367.00	0.20239	1.2089	0.019434	vapor
22.450	25.621	2.2063	0.45324	0.76289	0.92429	41.239	13.201	26.307	367.00	0.20239	1.2089	0.019434	vapor
22.450	25.624	2.2066	0.45318	0.76288	0.92428	41.237	13.201	26.309	366.99	0.20240	1.2089	0.019434	vapor
22.450	25.627	2.2070	0.45311	0.76288	0.92427	41.236	13.201	26.310	366.99	0.20240	1.2089	0.019434	vapor
22.450	25.630	2.2073	0.45305	0.76287	0.92427	41.235	13.202	26.311	366.99	0.20240	1.2089	0.019434	vapor
22.450	25.633	2.2076	0.45299	0.76286	0.92426	41.234	13.202	26.312	366.98	0.20240	1.2089	0.019435	vapor
22.450	25.636	2.2079	0.45293	0.76286	0.92425	41.232	13.202	26.313	366.98	0.20241	1.2089	0.019435	vapor
22.450	25.639	2.2082	0.45286	0.76285	0.92424	41.231	13.202	26.314	366.97	0.20241	1.2089	0.019435	vapor
22.450	25.642	2.2085	0.45280	0.76285	0.92423	41.230	13.202	26.316	366.97	0.20241	1.2089	0.019435	vapor
22.450	25.645	2.2088	0.45274	0.76284	0.92422	41.229	13.202	26.317	366.97	0.20242	1.2089	0.019436	vapor
22.450	25.648	2.2091	0.45267	0.76284	0.92421	41.227	13.203	26.318	366.96	0.20242	1.2089	0.019436	vapor
22.450	25.651	2.2094	0.45261	0.76283	0.92420	41.226	13.203	26.319	366.96	0.20242	1.2089	0.019436	vapor
22.450	25.654	2.2097	0.45255	0.76283	0.92419	41.225	13.203	26.320	366.96	0.20242	1.2089	0.019436	vapor
22.450	25.657	2.2100	0.45249	0.76282	0.92419	41.224	13.203	26.321	366.95	0.20243	1.2090	0.019436	vapor
22.450	25.660	2.2103	0.45242	0.76282	0.92418	41.223	13.203	26.322	366.95	0.20243	1.2090	0.019437	vapor
22.450	25.663	2.2106	0.45236	0.76281	0.92417	41.221	13.204	26.324	366.94	0.20243	1.2090	0.019437	vapor
22.450	25.666	2.2109	0.45230	0.76281	0.92416	41.220	13.204	26.325	366.94	0.20244	1.2090	0.019437	vapor
22.450	25.669	2.2112	0.45224	0.76280	0.92415	41.219	13.204	26.326	366.94	0.20244	1.2090	0.019437	vapor
22.450	25.672	2.2115	0.45217	0.76279	0.92414	41.218	13.204	26.327	366.93	0.20244	1.2090	0.019437	vapor
22.450	25.675	2.2118	0.45211	0.76279	0.92413	41.216	13.204	26.328	366.93	0.20244	1.2090	0.019438	vapor
