Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.180	24.400	166.99	0.0059885	-0.035866	-0.031808	-1.4699	16.938	27.738	913.27	-0.0071051	undefined	undefined	liquid
22.180	24.404	166.99	0.0059885	-0.035866	-0.031808	-1.4699	16.938	27.738	913.27	-0.0071051	undefined	undefined	liquid
22.180	24.408	166.99	0.0059885	-0.035867	-0.031807	-1.4699	16.938	27.738	913.27	-0.0071051	undefined	undefined	liquid
22.180	24.413	166.99	0.0059885	-0.035867	-0.031807	-1.4699	16.938	27.738	913.27	-0.0071052	undefined	undefined	liquid
22.180	24.417	166.99	0.0059885	-0.035867	-0.031806	-1.4699	16.938	27.738	913.27	-0.0071052	undefined	undefined	liquid
22.180	24.421	166.99	0.0059885	-0.035867	-0.031806	-1.4699	16.938	27.738	913.27	-0.0071052	undefined	undefined	liquid
22.180	24.425	166.99	0.0059885	-0.035868	-0.031805	-1.4699	16.938	27.738	913.27	-0.0071052	undefined	undefined	liquid
22.180	24.429	166.99	0.0059885	-0.035868	-0.031805	-1.4699	16.938	27.738	913.27	-0.0071052	undefined	undefined	liquid
22.180	24.434	166.99	0.0059885	-0.035868	-0.031804	-1.4699	16.938	27.738	913.27	-0.0071052	undefined	undefined	liquid
22.180	24.438	166.99	0.0059885	-0.035868	-0.031804	-1.4700	16.938	27.738	913.27	-0.0071052	undefined	undefined	liquid
22.180	24.442	166.99	0.0059885	-0.035869	-0.031803	-1.4700	16.938	27.737	913.27	-0.0071052	undefined	undefined	liquid
22.180	24.446	166.99	0.0059885	-0.035869	-0.031803	-1.4700	16.938	27.737	913.27	-0.0071053	undefined	undefined	liquid
22.180	24.450	166.99	0.0059885	-0.035869	-0.031802	-1.4700	16.938	27.737	913.27	-0.0071053	undefined	undefined	liquid
22.180	24.455	166.99	0.0059885	-0.035869	-0.031802	-1.4700	16.938	27.737	913.28	-0.0071053	undefined	undefined	liquid
22.180	24.459	166.99	0.0059885	-0.035870	-0.031802	-1.4700	16.938	27.737	913.28	-0.0071053	undefined	undefined	liquid
22.180	24.463	166.99	0.0059885	-0.035870	-0.031801	-1.4700	16.938	27.737	913.28	-0.0071053	undefined	undefined	liquid
22.180	24.467	166.99	0.0059885	-0.035870	-0.031801	-1.4700	16.938	27.737	913.28	-0.0071053	undefined	undefined	liquid
22.180	24.471	166.99	0.0059885	-0.035870	-0.031800	-1.4700	16.938	27.737	913.28	-0.0071053	undefined	undefined	liquid
22.180	24.476	166.99	0.0059885	-0.035871	-0.031800	-1.4701	16.938	27.737	913.28	-0.0071054	undefined	undefined	liquid
22.180	24.480	166.99	0.0059885	-0.035871	-0.031799	-1.4701	16.938	27.737	913.28	-0.0071054	undefined	undefined	liquid
22.180	24.484	166.99	0.0059885	-0.035871	-0.031799	-1.4701	16.938	27.737	913.28	-0.0071054	undefined	undefined	liquid
22.180	24.488	166.99	0.0059885	-0.035871	-0.031798	-1.4701	16.938	27.737	913.28	-0.0071054	undefined	undefined	liquid
22.180	24.492	166.99	0.0059885	-0.035871	-0.031798	-1.4701	16.938	27.737	913.28	-0.0071054	undefined	undefined	liquid
22.180	24.497	166.99	0.0059885	-0.035872	-0.031797	-1.4701	16.938	27.737	913.28	-0.0071054	undefined	undefined	liquid
22.180	24.501	166.99	0.0059885	-0.035872	-0.031797	-1.4701	16.938	27.737	913.28	-0.0071054	undefined	undefined	liquid
22.180	24.505	166.99	0.0059885	-0.035872	-0.031796	-1.4701	16.938	27.737	913.28	-0.0071054	undefined	undefined	liquid
22.180	24.509	166.99	0.0059885	-0.035872	-0.031796	-1.4701	16.938	27.737	913.28	-0.0071055	undefined	undefined	liquid
22.180	24.513	166.99	0.0059885	-0.035873	-0.031796	-1.4701	16.938	27.737	913.28	-0.0071055	undefined	undefined	liquid
22.180	24.518	166.99	0.0059885	-0.035873	-0.031795	-1.4702	16.938	27.737	913.28	-0.0071055	undefined	undefined	liquid
22.180	24.522	166.99	0.0059885	-0.035873	-0.031795	-1.4702	16.938	27.737	913.28	-0.0071055	undefined	undefined	liquid
22.180	24.526	166.99	0.0059884	-0.035873	-0.031794	-1.4702	16.938	27.737	913.28	-0.0071055	undefined	undefined	liquid
22.180	24.530	166.99	0.0059884	-0.035874	-0.031794	-1.4702	16.938	27.737	913.28	-0.0071055	undefined	undefined	liquid
22.180	24.534	166.99	0.0059884	-0.035874	-0.031793	-1.4702	16.938	27.737	913.29	-0.0071055	undefined	undefined	liquid
22.180	24.539	166.99	0.0059884	-0.035874	-0.031793	-1.4702	16.938	27.737	913.29	-0.0071056	undefined	undefined	liquid
22.180	24.543	166.99	0.0059884	-0.035874	-0.031792	-1.4702	16.938	27.737	913.29	-0.0071056	undefined	undefined	liquid
22.180	24.547	166.99	0.0059884	-0.035875	-0.031792	-1.4702	16.938	27.737	913.29	-0.0071056	undefined	undefined	liquid
22.180	24.551	166.99	0.0059884	-0.035875	-0.031791	-1.4702	16.938	27.737	913.29	-0.0071056	undefined	undefined	liquid
22.180	24.555	166.99	0.0059884	-0.035875	-0.031791	-1.4703	16.938	27.737	913.29	-0.0071056	undefined	undefined	liquid
22.180	24.560	166.99	0.0059884	-0.035875	-0.031791	-1.4703	16.938	27.737	913.29	-0.0071056	undefined	undefined	liquid
22.180	24.564	166.99	0.0059884	-0.035875	-0.031790	-1.4703	16.938	27.737	913.29	-0.0071056	undefined	undefined	liquid
22.180	24.568	166.99	0.0059884	-0.035876	-0.031790	-1.4703	16.938	27.737	913.29	-0.0071056	undefined	undefined	liquid
22.180	24.572	166.99	0.0059884	-0.035876	-0.031789	-1.4703	16.938	27.737	913.29	-0.0071057	undefined	undefined	liquid
22.180	24.576	166.99	0.0059884	-0.035876	-0.031789	-1.4703	16.938	27.737	913.29	-0.0071057	undefined	undefined	liquid
22.180	24.581	166.99	0.0059884	-0.035876	-0.031788	-1.4703	16.938	27.737	913.29	-0.0071057	undefined	undefined	liquid
22.180	24.585	166.99	0.0059884	-0.035877	-0.031788	-1.4703	16.938	27.737	913.29	-0.0071057	undefined	undefined	liquid
22.180	24.589	166.99	0.0059884	-0.035877	-0.031787	-1.4703	16.938	27.737	913.29	-0.0071057	undefined	undefined	liquid
22.180	24.593	166.99	0.0059884	-0.035877	-0.031787	-1.4704	16.938	27.737	913.29	-0.0071057	undefined	undefined	liquid
22.180	24.597	166.99	0.0059884	-0.035877	-0.031786	-1.4704	16.938	27.737	913.29	-0.0071057	undefined	undefined	liquid
22.180	24.602	166.99	0.0059884	-0.035878	-0.031786	-1.4704	16.938	27.737	913.29	-0.0071058	undefined	undefined	liquid
22.180	24.606	166.99	0.0059884	-0.035878	-0.031785	-1.4704	16.938	27.737	913.29	-0.0071058	undefined	undefined	liquid
22.180	24.610	166.99	0.0059884	-0.035878	-0.031785	-1.4704	16.938	27.737	913.29	-0.0071058	undefined	undefined	liquid
22.180	24.614	166.99	0.0059884	-0.035878	-0.031785	-1.4704	16.938	27.737	913.30	-0.0071058	undefined	undefined	liquid
22.180	24.618	166.99	0.0059884	-0.035879	-0.031784	-1.4704	16.938	27.736	913.30	-0.0071058	undefined	undefined	liquid
22.180	24.623	166.99	0.0059884	-0.035879	-0.031784	-1.4704	16.938	27.736	913.30	-0.0071058	undefined	undefined	liquid
22.180	24.627	166.99	0.0059884	-0.035879	-0.031783	-1.4704	16.938	27.736	913.30	-0.0071058	undefined	undefined	liquid
22.180	24.631	166.99	0.0059884	-0.035879	-0.031783	-1.4705	16.938	27.736	913.30	-0.0071058	undefined	undefined	liquid
22.180	24.635	166.99	0.0059884	-0.035880	-0.031782	-1.4705	16.938	27.736	913.30	-0.0071059	undefined	undefined	liquid
22.180	24.639	166.99	0.0059884	-0.035880	-0.031782	-1.4705	16.938	27.736	913.30	-0.0071059	undefined	undefined	liquid
22.180	24.644	166.99	0.0059884	-0.035880	-0.031781	-1.4705	16.938	27.736	913.30	-0.0071059	undefined	undefined	liquid
22.180	24.648	166.99	0.0059884	-0.035880	-0.031781	-1.4705	16.938	27.736	913.30	-0.0071059	undefined	undefined	liquid
22.180	24.652	166.99	0.0059884	-0.035880	-0.031780	-1.4705	16.938	27.736	913.30	-0.0071059	undefined	undefined	liquid
22.180	24.656	166.99	0.0059884	-0.035881	-0.031780	-1.4705	16.938	27.736	913.30	-0.0071059	undefined	undefined	liquid
22.180	24.660	166.99	0.0059884	-0.035881	-0.031779	-1.4705	16.938	27.736	913.30	-0.0071059	undefined	undefined	liquid
22.180	24.665	166.99	0.0059884	-0.035881	-0.031779	-1.4705	16.938	27.736	913.30	-0.0071060	undefined	undefined	liquid
22.180	24.669	166.99	0.0059884	-0.035881	-0.031779	-1.4705	16.938	27.736	913.30	-0.0071060	undefined	undefined	liquid
22.180	24.673	166.99	0.0059884	-0.035882	-0.031778	-1.4706	16.938	27.736	913.30	-0.0071060	undefined	undefined	liquid
22.180	24.677	166.99	0.0059884	-0.035882	-0.031778	-1.4706	16.938	27.736	913.30	-0.0071060	undefined	undefined	liquid
22.180	24.681	166.99	0.0059884	-0.035882	-0.031777	-1.4706	16.938	27.736	913.30	-0.0071060	undefined	undefined	liquid
22.180	24.686	166.99	0.0059884	-0.035882	-0.031777	-1.4706	16.938	27.736	913.30	-0.0071060	undefined	undefined	liquid
22.180	24.690	166.99	0.0059884	-0.035883	-0.031776	-1.4706	16.938	27.736	913.30	-0.0071060	undefined	undefined	liquid
