Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
19.000	24.000	174.31	0.0057371	-27.989	-27.040	-1.2927	3.4503	5.4904	1074.0	-0.0099693	undefined	undefined	liquid
19.250	24.000	173.77	0.0057546	-26.622	-25.669	-1.2210	3.4376	5.4827	1063.6	-0.0099572	undefined	undefined	liquid
19.500	24.000	173.24	0.0057723	-25.251	-24.296	-1.1501	3.4505	5.5133	1051.7	-0.0098614	undefined	undefined	liquid
19.750	24.000	172.70	0.0057903	-23.868	-22.910	-1.0795	3.4837	5.5750	1038.8	-0.0096996	undefined	undefined	liquid
20.000	24.000	172.16	0.0058086	-22.467	-21.506	-1.0089	3.5326	5.6617	1025.3	-0.0094882	undefined	undefined	liquid
20.250	24.000	171.61	0.0058273	-21.042	-20.078	-0.93792	3.5934	5.7683	1011.4	-0.0092413	undefined	undefined	liquid
20.500	24.000	171.04	0.0058464	-19.588	-18.621	-0.86641	3.6631	5.8906	997.39	-0.0089709	undefined	undefined	liquid
20.750	24.000	170.47	0.0058661	-18.102	-17.131	-0.79421	3.7389	6.0248	983.51	-0.0086868	undefined	undefined	liquid
21.000	24.000	169.89	0.0058862	-16.581	-15.607	-0.72120	3.8187	6.1678	969.92	-0.0083970	undefined	undefined	liquid
21.250	24.000	169.29	0.0059068	-15.024	-14.047	-0.64734	3.9009	6.3169	956.75	-0.0081076	undefined	undefined	liquid
21.500	24.000	168.69	0.0059281	-13.430	-12.449	-0.57256	3.9838	6.4695	944.13	-0.0078235	undefined	undefined	liquid
21.750	24.000	168.07	0.0059499	-11.797	-10.812	-0.49688	4.0663	6.6236	932.14	-0.0075484	undefined	undefined	liquid
22.000	24.000	167.44	0.0059722	-10.125	-9.1369	-0.42031	4.1475	6.7771	920.86	-0.0072851	undefined	undefined	liquid
22.250	24.000	166.80	0.0059952	-8.4157	-7.4237	-0.34287	4.2264	6.9285	910.36	-0.0070354	undefined	undefined	liquid
22.500	24.000	166.15	0.0060187	-6.6689	-5.6730	-0.26463	4.3026	7.0764	900.65	-0.0068006	undefined	undefined	liquid
22.750	24.000	165.49	0.0060428	-4.8858	-3.8858	-0.18564	4.3754	7.2197	891.77	-0.0065813	undefined	undefined	liquid
23.000	24.000	164.82	0.0060674	-3.0676	-2.0636	-0.10598	4.4445	7.3575	883.70	-0.0063775	undefined	undefined	liquid
23.250	24.000	164.14	0.0060925	-1.2158	-0.20761	-0.025722	4.5097	7.4892	876.42	-0.0061888	undefined	undefined	liquid
23.500	24.000	163.45	0.0061181	0.66813	1.6805	0.055053	4.5707	7.6147	869.90	-0.0060142	undefined	undefined	liquid
23.750	24.000	162.76	0.0061441	2.5825	3.5992	0.13627	4.6274	7.7338	864.06	-0.0058527	undefined	undefined	liquid
24.000	24.000	162.06	0.0061706	4.5258	5.5469	0.21785	4.6797	7.8467	858.86	-0.0057028	undefined	undefined	liquid
24.250	24.000	161.35	0.0061975	6.4966	7.5221	0.29972	4.7276	7.9540	854.20	-0.0055627	undefined	undefined	liquid
24.500	24.000	160.65	0.0062249	8.4934	9.5234	0.38183	4.7711	8.0560	850.01	-0.0054308	undefined	undefined	liquid
24.750	24.000	159.93	0.0062526	10.515	11.550	0.46411	4.8103	8.1535	846.21	-0.0053053	undefined	undefined	liquid
25.000	24.000	159.22	0.0062808	12.561	13.600	0.54653	4.8453	8.2471	842.71	-0.0051844	undefined	undefined	liquid
25.117	24.000	158.88	0.0062942	13.529	14.571	0.58528	4.8603	8.2899	841.14	-0.0051287	undefined	undefined	liquid
25.117	24.000	3.2591	0.30683	280.06	330.83	13.177	2.1277	3.9366	298.56	-0.027955	undefined	undefined	vapor
25.250	24.000	3.2425	0.30841	280.32	331.36	13.197	2.1447	3.9581	299.08	-0.027062	undefined	undefined	vapor
25.500	24.000	3.2115	0.31138	280.83	332.35	13.237	2.1759	3.9982	300.08	-0.025348	undefined	undefined	vapor
25.750	24.000	3.1812	0.31435	281.34	333.35	13.276	2.2064	4.0376	301.09	-0.023605	undefined	undefined	vapor
26.000	24.000	3.1513	0.31733	281.86	334.37	13.315	2.2362	4.0761	302.13	-0.021847	undefined	undefined	vapor
