Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.400	25.600	68.385	0.014623	0.038636	0.043839	1.9479	11.672	22.270	1057.4	-0.0090641	11.393	0.10531	liquid
22.400	25.603	68.385	0.014623	0.038636	0.043840	1.9479	11.672	22.270	1057.4	-0.0090641	11.393	0.10531	liquid
22.400	25.606	68.385	0.014623	0.038635	0.043840	1.9479	11.672	22.270	1057.4	-0.0090641	11.393	0.10531	liquid
22.400	25.609	68.385	0.014623	0.038635	0.043840	1.9479	11.672	22.270	1057.4	-0.0090642	11.393	0.10531	liquid
22.400	25.612	68.385	0.014623	0.038635	0.043841	1.9479	11.672	22.270	1057.4	-0.0090642	11.393	0.10531	liquid
22.400	25.615	68.385	0.014623	0.038635	0.043841	1.9479	11.672	22.270	1057.4	-0.0090643	11.393	0.10531	liquid
22.400	25.618	68.385	0.014623	0.038634	0.043841	1.9478	11.672	22.270	1057.4	-0.0090643	11.393	0.10531	liquid
22.400	25.621	68.385	0.014623	0.038634	0.043842	1.9478	11.672	22.270	1057.4	-0.0090643	11.393	0.10531	liquid
22.400	25.624	68.385	0.014623	0.038634	0.043842	1.9478	11.672	22.270	1057.4	-0.0090644	11.393	0.10531	liquid
22.400	25.627	68.386	0.014623	0.038634	0.043842	1.9478	11.672	22.270	1057.4	-0.0090644	11.393	0.10531	liquid
22.400	25.630	68.386	0.014623	0.038633	0.043843	1.9478	11.672	22.270	1057.4	-0.0090644	11.393	0.10531	liquid
22.400	25.633	68.386	0.014623	0.038633	0.043843	1.9478	11.672	22.270	1057.4	-0.0090645	11.393	0.10531	liquid
22.400	25.636	68.386	0.014623	0.038633	0.043843	1.9478	11.672	22.270	1057.4	-0.0090645	11.393	0.10531	liquid
22.400	25.639	68.386	0.014623	0.038632	0.043844	1.9478	11.672	22.269	1057.4	-0.0090646	11.393	0.10531	liquid
22.400	25.642	68.386	0.014623	0.038632	0.043844	1.9477	11.672	22.269	1057.4	-0.0090646	11.393	0.10531	liquid
22.400	25.645	68.386	0.014623	0.038632	0.043844	1.9477	11.672	22.269	1057.4	-0.0090646	11.393	0.10531	liquid
22.400	25.648	68.386	0.014623	0.038632	0.043845	1.9477	11.672	22.269	1057.4	-0.0090647	11.394	0.10531	liquid
22.400	25.651	68.386	0.014623	0.038631	0.043845	1.9477	11.672	22.269	1057.4	-0.0090647	11.394	0.10531	liquid
22.400	25.654	68.386	0.014623	0.038631	0.043845	1.9477	11.672	22.269	1057.5	-0.0090647	11.394	0.10531	liquid
22.400	25.657	68.386	0.014623	0.038631	0.043846	1.9477	11.672	22.269	1057.5	-0.0090648	11.394	0.10531	liquid
