correct as of April 4 2022
Run	PTRIG1	Cur	ChCorr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	BOIL	FADC	Total
6018	458.0	30.3	44.68	0.96	0.994	0.98	0.968	0.9987	0.9964	0.9758	0.9921	0.9771	0.8521
6019	458.9	30.8	50.81	0.96	0.994	0.98	0.968	0.9991	0.9970	0.9753	0.9920	0.9771	0.8524
6020	458.9	30.8	36.86	0.96	0.994	0.98	0.968	0.9987	0.9948	0.9769	0.9920	0.9771	0.8516
6021	458.7	30.8	65.21	0.96	0.994	0.98	0.968	0.9987	0.9963	0.9759	0.9920	0.9771	0.8520
6022	90.3	40.8	67.46	0.96	0.994	0.98	0.968	0.9993	0.9987	0.9942	0.9894	0.9955	0.8847
6023	450.9	50.8	60.45	0.96	0.994	0.98	0.968	0.9988	0.9940	0.9681	0.9868	0.9775	0.8393
6024	393.2	45.8	36.80	0.96	0.994	0.98	0.968	0.9982	0.9963	0.9720	0.9881	0.9803	0.8476
6025	393.7	45.8	47.57	0.96	0.994	0.98	0.968	0.9985	0.9949	0.9748	0.9881	0.9803	0.8491
6026	90.2	40.8	76.68	0.96	0.994	0.98	0.968	0.9982	0.9976	0.9940	0.9894	0.9955	0.8826
6027	157.4	40.8	98.68	0.96	0.994	0.98	0.968	0.9984	0.9973	0.9917	0.9894	0.9921	0.8774
6028	157.4	40.8	39.99	0.96	0.994	0.98	0.968	0.9983	0.9950	0.9926	0.9894	0.9921	0.8760
6029	482.3	18.3	3.82	0.96	0.994	0.98	0.968	0.9991	0.9982	0.9755	0.9952	0.9759	0.8554
6030	435.7	16.3	36.83	0.96	0.994	0.98	0.968	0.9983	0.9962	0.9798	0.9958	0.9782	0.8592
6031	431.2	16.3	27.13	0.96	0.994	0.98	0.968	0.9980	0.9959	0.9819	0.9958	0.9784	0.8607
6032	432.6	16.3	26.87	0.96	0.994	0.98	0.968	0.9980	0.9969	0.9817	0.9958	0.9784	0.8614
6033	487.1	35.8	49.53	0.96	0.994	0.98	0.968	0.9985	0.9939	0.9737	0.9907	0.9756	0.8454
6034	487.4	35.8	48.85	0.96	0.994	0.98	0.968	0.9984	0.9955	0.9759	0.9907	0.9756	0.8486
6035	485.9	35.8	46.41	0.96	0.994	0.98	0.968	0.9982	0.9952	0.9717	0.9907	0.9757	0.8446
