RunNumber    target    charge       TLT   TE_SHMS    TE_HMS SHMS_aero  SHMS_cal   HMS_cal   HMS_cer       all
6018        D2   44.5352    0.9764  0.978261  0.997623  0.954649  0.938657  0.993484  0.972669  0.825136
6019        D2   50.6412  0.976419  0.977936  0.996769  0.928229   0.92938  0.992548  0.971402  0.791663
6020        D2   36.7301  0.977612  0.971179  0.996549  0.942308  0.931319  0.990053   0.97101  0.798248
6021        D2   65.0266  0.976318  0.976821  0.996857  0.943693  0.933943  0.994741  0.972659  0.810701
6029        D2   3.81209  0.975443   0.96124         1  0.943042  0.942867  0.999679  0.981392  0.817935
6030        D2   36.6066  0.982124  0.974766  0.996296  0.934753  0.936214  0.993499  0.961725  0.797528
6031        D2   26.9686  0.982905   0.98067  0.993865    0.9327  0.934629  0.994014  0.978911  0.812604
6032        D2    26.677   0.98251  0.976829  0.998081  0.933235  0.937679  0.994491  0.971204  0.809614
6043        D2   21.6747  0.981742  0.979282  0.995914  0.931399  0.931718  0.991751  0.965235  0.795395
6044        D2   31.2374  0.982103  0.976482  0.997161  0.932285  0.933871  0.995683  0.975665  0.808804
6045        D2     8.909  0.982964  0.985507  0.992683  0.931594  0.940674  0.989278   0.98858  0.824146
6049        D2   3.36979  0.981146  0.978571         1  0.940087   0.93573         1         1  0.844588
6050        D2   12.8127  0.981286  0.982222  0.998492  0.922299  0.911323         1         1  0.808899
6051        D2   9.95509  0.982382  0.996997  0.995652  0.934661  0.937107         1         1  0.854132
6052        D2   18.9907  0.982761  0.977044  0.994687   0.92948  0.923314         1         1  0.819668
6053        D2   9.01102  0.981302  0.976676  0.989775   0.91073  0.904573         1         1  0.781489
6054        D2    57.954  0.979603  0.984781  0.996401  0.927161  0.917615         1         1  0.817785
6055        D2   11.9755  0.978797     0.966         1  0.939513  0.936884         1         1  0.832259
6068        D2   47.9666  0.974983  0.966914  0.991361  0.942147    0.9358         1         1  0.823984
6070        D2   46.2509   0.97188  0.974288  0.996501  0.910721  0.911636  0.992306  0.958741    0.7453
6071        D2   36.1019  0.974125  0.959108  0.996348  0.900309  0.907007  0.994618  0.966126  0.730441
6073        D2   108.027  0.978145  0.970229  0.997336  0.929813  0.930815  0.993585  0.960231  0.781554
6081        D2   12.4727  0.978458  0.967742         1   0.72093  0.736434         1         1  0.502723
6088        D2   36.6026   0.98073  0.980936   0.99787  0.933224  0.933892  0.993403  0.973064  0.808748
6089        D2   37.7899  0.981107  0.978616  0.995359  0.926331  0.926445  0.992158  0.983871  0.800594
6090        D2   36.4836  0.980638  0.982843   0.99696  0.929675  0.934284  0.994785  0.973427  0.808189
6091        D2   31.8493  0.981171  0.981707  0.996878  0.895229  0.900067  0.991306  0.974551  0.747463
6093        D2   29.2148  0.982949  0.979592  0.996201  0.934875  0.923844   0.99438   0.98309   0.80988
6094        D2   3.72974  0.981062  0.983871  0.992366  0.957421  0.958637  0.998165  0.978495  0.858667
6095        D2   3.47462  0.980351  0.984293  0.992337  0.950382  0.952926  0.986717  0.982456  0.840675
6096        D2   22.3614  0.981559  0.980961  0.995416  0.906476  0.902853  0.994009  0.964641  0.752147
6112        D2    35.015  0.991782  0.983117  0.997512         1         1  0.991328  0.971674  0.936868
6114        D2   11.6461  0.993035  0.977186  0.996845  0.969109  0.960489  0.971074  0.841667  0.735914
6115        D2   53.4831   0.98947  0.977959  0.995439  0.945728  0.945882  0.990433   0.96302  0.821867
6116        D2   35.1161  0.987348  0.977429  0.996718  0.948988  0.946759   0.99229  0.966309  0.828673
6124        D2   80.6483  0.981357  0.978341  0.996087  0.943976  0.939737  0.989273  0.960796   0.80636
6125        D2   74.4085  0.980004  0.978775  0.995946   0.95271  0.947884  0.990808  0.967383  0.826895
6136        D2   44.9986  0.981876  0.982775  0.996437  0.947188  0.940877  0.988863  0.970543  0.822397
6137        D2   45.3663  0.981908  0.980879  0.995516  0.946128  0.940725  0.987642  0.968554  0.816338
6138        D2   40.5957  0.983661  0.978155  0.994855  0.941288  0.932955  0.989654  0.972527  0.809061
6145        D2   41.1915  0.979549  0.974403   0.99405  0.950178  0.937252  0.989612  0.962766  0.805045
6146        D2   8.19995  0.983754   0.98954  0.997872  0.942523  0.920784  0.989615   0.96453  0.804686
